id,awb,courier,date,weight,zone,amount,cod,status
4090657,77111874582,BlueDart,2026-08-06,0.23,Madhya Pradesh,34.69,0.0,delivered
4090658,34791187071212,ShipRocket,2026-08-06,0.02,Rajasthan,29.5,0.0,pending
4090659,7D135997024,DTDC,2026-08-06,1.0,Uttar Pradesh,51.92,0.0,in_transit
4090660,77111875621,BlueDart,2026-08-06,0.01,Punjab,34.69,0.0,pending
4090661,77111875632,BlueDart,2026-08-06,0.25,Jharkhand,34.69,0.0,pending
4090662,77111875643,BlueDart,2026-08-06,2.0,Karnataka,64.43,0.0,delivered
4090663,SSRP3949112106,ShipRocket,2026-08-06,0.05,Kerala,29.5,0.0,discrepancy
4091242,31150410372676,Delhivery,2026-08-06,1.0,Kerala,84.96,0.0,in_transit
4091246,DBTP0000027672,Ekart Logistics,2026-08-06,1.5,Tamil Nadu,37.76,0.0,delivered
4091250,SSRP4295179668,ShipRocket,2026-08-06,0.16,Kerala,29.5,0.0,delivered
4091254,77111917562,BlueDart,2026-08-06,0.5,Puducherry,34.69,0.0,in_transit
4091258,DBLP0000033509,Ekart Logistics,2026-08-06,5.0,Telangana,96.76,0.0,in_transit
4091262,500704170785,Trackon,2026-08-06,1.0,Gujarat,44.84,0.0,delivered
4091266,77111917621,BlueDart,2026-08-06,0.16,Delhi,34.69,0.0,delivered
4091270,77111917680,BlueDart,2026-08-06,1.0,Haryana,43.37,0.0,delivered
4091274,DBLP0000033523,Ekart Logistics,2026-08-06,4.0,Bihar,79.06,0.0,in_transit
4091278,77111919161,BlueDart,2026-08-06,0.5,Karnataka,34.69,0.0,delivered
4091282,7D135996944,DTDC,2026-08-06,2.0,Tamil Nadu,66.08,0.0,in_transit
4091286,DBLP0000033525,Ekart Logistics,2026-08-06,20.0,Maharashtra,362.26,0.0,in_transit
4091290,DBTP0000027681,Ekart Logistics,2026-08-06,1.0,Jharkhand,37.76,0.0,in_transit
4091294,26022370056548,Shree Maruti,2026-08-06,0.25,Gujarat,23.6,0.0,delivered
4091298,77111919275,BlueDart,2026-08-06,2.0,Punjab,64.43,0.0,in_transit
4091302,7D135996947,DTDC,2026-08-06,2.0,Uttar Pradesh,66.08,0.0,in_transit
4091306,77111919323,BlueDart,2026-08-06,0.13,Maharashtra,34.69,0.0,delivered
4091310,500623283492,Trackon,2026-08-06,0.5,Maharashtra,31.86,0.0,delivered
4091314,DBLP0000033535,Ekart Logistics,2026-08-06,7.0,Telangana,132.16,0.0,delivered
4091318,7D135996961,DTDC,2026-08-06,0.5,Uttar Pradesh,29.5,0.0,in_transit
4091322,77111920480,BlueDart,2026-08-06,0.25,West Bengal,34.69,0.0,pending
4091326,77111920535,BlueDart,2026-08-06,0.03,Karnataka,34.69,0.0,delivered
4091330,34791187075843,ShipRocket,2026-08-06,0.21,Maharashtra,29.5,0.0,delivered
4091334,26022370056561,Shree Maruti,2026-08-06,0.5,Gujarat,23.6,0.0,delivered
4091338,500623283222,Trackon,2026-08-06,0.5,Uttar Pradesh,31.86,0.0,delivered
4091342,DBLP0000033549,Ekart Logistics,2026-08-06,4.0,Odisha,79.06,0.0,in_transit
4091346,DBLP0000033551,Ekart Logistics,2026-08-06,4.0,Uttar Pradesh,79.06,0.0,in_transit
4091350,7D135996973,DTDC,2026-08-06,2.0,Jharkhand,66.08,0.0,in_transit
4091354,26022370056570,Shree Maruti,2026-08-06,0.5,Gujarat,23.6,0.0,delivered
4091358,SSRP4328389637,ShipRocket,2026-08-06,0.1,Maharashtra,29.5,0.0,in_transit
4091362,7D135996976,DTDC,2026-08-06,1.0,Tamil Nadu,51.92,0.0,in_transit
4091366,500704170857,Trackon,2026-08-06,3.0,Kerala,54.28,0.0,delivered
4091370,DBTP0000027705,Ekart Logistics,2026-08-06,1.5,Uttar Pradesh,37.76,0.0,delivered
4091374,77111922193,BlueDart,2026-08-06,1.0,Karnataka,43.37,0.0,delivered
4091378,26022370056575,Shree Maruti,2026-08-06,0.11,Gujarat,23.6,0.0,delivered
4091382,77111922296,BlueDart,2026-08-06,1.0,Uttar Pradesh,43.37,0.0,delivered
4091385,77111922366,BlueDart,2026-08-06,0.2,Maharashtra,34.69,0.0,pending
4091389,77111922436,BlueDart,2026-08-06,0.5,Bihar,34.69,0.0,pending
4091393,500704171136,Trackon,2026-08-06,2.0,Maharashtra,54.28,0.0,in_transit
4091396,77111916243,BlueDart,2026-08-06,2.0,Delhi,64.43,0.0,delivered
4091400,7D135996920,DTDC,2026-08-06,2.0,Uttar Pradesh,66.08,0.0,in_transit
4091404,77111916313,BlueDart,2026-08-06,0.5,Puducherry,34.69,0.0,delivered
4091408,DBTP0000027662,Ekart Logistics,2026-08-06,1.5,Rajasthan,37.76,0.0,in_transit
4091412,77111916372,BlueDart,2026-08-06,0.23,Punjab,34.69,0.0,delivered
4091416,7D135997030,DTDC,2026-08-06,0.5,Odisha,29.5,0.0,in_transit
4091420,77111916442,BlueDart,2026-08-06,2.0,Telangana,64.43,0.0,pending
4091424,77111916490,BlueDart,2026-08-06,0.5,Maharashtra,34.69,0.0,delivered
4091428,77111916545,BlueDart,2026-08-06,0.25,Tamil Nadu,34.69,0.0,pending
4091432,DBLP0000033493,Ekart Logistics,2026-08-06,6.0,Odisha,114.46,0.0,in_transit
4091436,77111916593,BlueDart,2026-08-06,2.0,Karnataka,64.43,0.0,delivered
4091440,7D135996925,DTDC,2026-08-06,2.0,Maharashtra,66.08,0.0,delivered
4091448,500623283204,Trackon,2026-08-06,0.5,Delhi,31.86,0.0,in_transit
4091444,77111916641,BlueDart,2026-08-06,0.23,Assam,34.69,0.0,in_transit
4091452,DBLP0000033501,Ekart Logistics,2026-08-06,5.0,Telangana,96.76,0.0,pending
4091456,77111916733,BlueDart,2026-08-06,0.5,Uttar Pradesh,34.69,0.0,delivered
4091460,7D135996928,DTDC,2026-08-06,2.0,Maharashtra,66.08,0.0,in_transit
4091464,DBLP0000033507,Ekart Logistics,2026-08-06,7.0,Bihar,132.16,0.0,in_transit
4091468,7D135996930,DTDC,2026-08-06,2.0,Tamil Nadu,66.08,0.0,in_transit
4091472,77111916825,BlueDart,2026-08-06,0.25,Karnataka,34.69,0.0,delivered
4091476,26022370056536,Shree Maruti,2026-08-06,1.5,Gujarat,44.84,0.0,in_transit
4091484,26022370056540,Shree Maruti,2026-08-06,0.5,Gujarat,23.6,0.0,pending
4091480,DBLP0000033513,Ekart Logistics,2026-08-06,5.0,Tamil Nadu,96.76,0.0,in_transit
4091488,77111917805,BlueDart,2026-08-06,0.03,Maharashtra,34.69,0.0,delivered
4091492,77111917853,BlueDart,2026-08-06,0.07,Maharashtra,34.69,0.0,pending
4091496,26022370056542,Shree Maruti,2026-08-06,0.24,Gujarat,23.6,0.0,delivered
4091500,34791187075095,ShipRocket,2026-08-06,0.25,Madhya Pradesh,29.5,0.0,in_transit
4091504,DBTP0000027676,Ekart Logistics,2026-08-06,1.0,Rajasthan,37.76,0.0,in_transit
4091507,26022370056544,Shree Maruti,2026-08-06,0.23,Gujarat,23.6,0.0,discrepancy
4091511,77111917960,BlueDart,2026-08-06,1.0,Uttar Pradesh,43.37,0.0,pending
4091515,7D135996941,DTDC,2026-08-06,1.5,Jharkhand,66.08,0.0,in_transit
4091519,77111917993,BlueDart,2026-08-06,0.25,Punjab,34.69,0.0,delivered
4091523,77111918041,BlueDart,2026-08-06,0.25,Kerala,34.69,0.0,pending
4091527,DBLP0000033527,Ekart Logistics,2026-08-06,5.0,Andhra Pradesh,96.76,0.0,pending
4091531,DBTP0000027684,Ekart Logistics,2026-08-06,1.5,Haryana,37.76,0.0,delivered
4091535,DBLP0000033529,Ekart Logistics,2026-08-06,4.0,Kerala,79.06,0.0,in_transit
4091539,34791187075261,ShipRocket,2026-08-06,0.06,Maharashtra,29.5,0.0,in_transit
4091543,77111919430,BlueDart,2026-08-06,0.19,Kerala,34.69,0.0,delivered
4091547,7D135996949,DTDC,2026-08-06,0.5,Tamil Nadu,29.5,0.0,in_transit
4091551,DBTP0000027687,Ekart Logistics,2026-08-06,1.0,Karnataka,37.76,0.0,pending
4091555,77111919496,BlueDart,2026-08-06,0.5,Himachal Pradesh,34.69,0.0,pending
4091559,26022370056555,Shree Maruti,2026-08-06,0.03,Gujarat,23.6,0.0,delivered
4091563,77111920572,BlueDart,2026-08-06,1.0,Karnataka,43.37,0.0,delivered
4091567,500704170848,Trackon,2026-08-06,2.0,Uttar Pradesh,54.28,0.0,in_transit
4091571,DBTP0000027695,Ekart Logistics,2026-08-06,1.0,Uttar Pradesh,37.76,0.0,in_transit
4091575,77111920631,BlueDart,2026-08-06,0.12,Maharashtra,34.69,0.0,delivered
4091579,500704171028,Trackon,2026-08-06,3.0,Telangana,54.28,0.0,delivered
4091583,DBLP0000033541,Ekart Logistics,2026-08-06,4.0,Karnataka,79.06,0.0,delivered
4091587,26022370056565,Shree Maruti,2026-08-06,0.16,Gujarat,23.6,0.0,delivered
4091591,DBTP0000027698,Ekart Logistics,2026-08-06,1.0,Tamil Nadu,37.76,0.0,pending
4090716,DBLP0000033431,Ekart Logistics,2026-08-06,4.0,Delhi,79.06,0.0,pending
4090720,7D135996843,DTDC,2026-08-06,1.0,Delhi,51.92,0.0,in_transit
4090724,26022370056469,Shree Maruti,2026-08-06,0.09,Gujarat,23.6,0.0,delivered
4090727,DBLP0000033433,Ekart Logistics,2026-08-06,11.0,Madhya Pradesh,202.96,0.0,pending
4090731,77111877426,BlueDart,2026-08-06,0.02,Haryana,34.69,0.0,delivered
4090735,77111879154,BlueDart,2026-08-06,0.08,Uttar Pradesh,34.69,0.0,delivered
4090739,26022370056486,Shree Maruti,2026-08-06,2.0,Gujarat,44.84,0.0,delivered
